Calibrating	
358.1	358.1
327.86	327.97
263.6	-1407.96
233.37	233.63
210.69	210.6
184.23	184.23
180.44	180.36
172.87	172.67
176.63	176.43
176.63	176.52
184.18	183.93
210.64	210.6
312.68	3269.64
350.47	350.46
384.5	384.7
384.51	384.58
384.52	384.52
384.54	384.75
384.54	384.53
384.54	384.29
354.28	-1105.54
316.47	316.34
274.9	274.9
199.3	199.58
169.09	168.99
165.31	165.37
165.3	165.13
165.27	165.04
165.26	165.38
169.06	169.11
210.65	1872.42
248.45	248.56
290.02	289.94
384.51	384.42
384.49	384.42
384.49	384.51
384.5	384.84
384.52	384.64
384.52	384.61
384.53	384.62
365.63	365.59
274.9	274.94
233.32	233.5
165.29	-1306.01
165.29	165.25
161.5	161.39
165.27	165.17
165.26	165.19
165.27	165.41
184.18	184.24
222	222.17
324.08	3290.15
377	376.83
376.98	376.91
384.56	384.73
384.57	384.6
384.58	384.48
384.59	384.72
384.6	384.75
358.14	358.2
312.78	312.73
267.44	267.4
222.09	222.33
180.53	180.6
165.39	374.99
165.35	165.03
165.32	164.98
165.31	165.4
165.32	165.35
203.14	1886.45
252.28	252.44
305.19	305.09
354.32	354.41
384.56	384.69
384.58	384.66
384.59	384.62
384.59	384.59
384.58	384.69
384.59	384.62
384.59	384.63
316.54	316.4
316.52	316.55
233.36	-2067.22
188	187.99
165.33	165.24
165.31	165.22
165.29	164.95
165.28	165.32
165.28	165.47
172.86	173.03
191.77	191.97
225.79	225.66
342.95	3919.58
384.53	384.63
384.54	384.65
384.55	384.6
384.56	384.72
384.56	384.51
384.55	384.51
384.54	384.42
384.54	384.63
384.54	384.49
384.53	384.41
384.53	384.74
384.54	384.71
384.55	384.45
384.54	384.55
384.55	384.65
384.55	384.59
384.56	384.72
384.57	384.58
384.57	384.67
384.56	384.53
384.55	384.42
384.56	384.57
384.56	384.5
384.56	384.52
384.57	384.66
384.58	384.7
384.58	384.64
384.58	384.61
384.58	384.69
384.59	384.61
384.6	384.66
384.6	384.66
384.59	384.49
384.58	384.27
384.56	384.48
384.55	384.42
384.54	384.39
384.53	384.33
384.52	384.29
380.73	380.71
384.5	384.23
384.5	384.59
384.5	384.58
384.5	384.57
384.5	384.58
384.49	384.36
384.49	384.61
384.5	384.82
384.5	384.55
384.51	384.53
384.51	384.5
384.5	384.45
384.5	384.37
384.48	384.39
384.48	384.6
384.49	384.64
384.49	384.56
384.49	384.42
384.49	384.48
384.48	384.51
384.47	384.32
380.7	170.48
342.89	343.03
293.75	293.7
203.04	203.21
165.24	165
165.22	165.06
165.2	165.14
165.19	165.08
165.2	165.43
165.23	165.31
165.25	165.2
165.25	165.25
165.25	165.19
161.47	-45.47
165.25	165.48
165.26	165.11
165.26	165.33
165.27	165.48
165.28	165.33
165.29	165.36
165.29	165.33
165.29	165.21
165.3	165.5
165.29	165.39
165.29	165.08
165.27	165.16
165.28	165.29
165.28	165.31
165.29	165.3
165.29	165.21
165.3	165.39
